question,answer
what is the entry rate of enterprises consisted of the group of short-lived firms?,2.9
what is the total number of entrants in 2011?,138506.0
how many alus do entrants in 2011 account for?,166580.0
how many ilus do entrants in 2011 account for?,305671.0
how much percentage of employment using full-time equivalents do entrants account for if the first-year size of entrants is used?,1.5
how much percentage of employment using person-job counts do entrants account for if the first-year size of entrants is used?,2.3
how much percentage of employment using full-time equivalents do entrants account for if the second-year size of entrants is used?,1.3
how much percentage of employment using person-job counts do entrants account for if the second-year size of entrants is used?,1.9
which club did ayanda nkili play for in 2013?,orebro
what was the peak chart position on the us of tons of sobs?,197.0
how many million dollars of research and development performed by companies in the united states in 2013?,322528.0
"of the $323 billion of research and development performed by companies in the united states in 2013, how many percent did ict industries account for?",0.413418
"of the $323 million of research and development performed by companies in the united states in 2013, how many million dollars did ict industries account for?",133339.0
"how many times are r&d expenditures of ict industries larger than the pharmaceutical manufacturing industry, the single largest industry in terms of r&d expenditures in the united states?",2.418857
"how many goals did powell made with 42 league appearances in 2014-2015, for the milton keynes dons club?",8.0
"in 2007, which album was relased by the war on drugs and had a song called ""holding on""?",a deeper understanding
what is the final result for the first viva world cup?,21-1
which year did chris calloway perform the best?,1997.0
"during the 1972-73 montreal canadiens season, what is the final result for canadiens?",1st
which year has a higher number of under-reporters regardless of age or sex?,2015.0
how many times has the percentage of under-reporters increased in the youngest age group?,2.104478
which group of people has been dereased from 2004 to 2015 significantly mostly?,over-reporters
what is the most prevalent misreporting status?,plausible reporters
what is the likelihood of being employed among off-reserve first nations mothers without a high school diploma who become mothers in their teens?,0.4
what is the likelihood of being employed among off-reserve first nations mothers without a high school diploma who become mothers later in life?,0.41
what is the likelihood of being employed among off-reserve first nations early mothers with a diploma?,0.59
"what is the likelihood of being employed among inuit women, those who have at least a high school diploma and who become mothers in their teenage years?",0.67
"which kind of inuit women have higher probability to be employed, women who had at least a high school diploma and who became mothers in their teenage years or early mothers who did not complete high school?","early mothers, with diploma"
"which kind of inuit women are less likely to be employed, women without a diploma and without children or women who completed high school and were early mothers?","childless women, no diploma"
which characteristics of men cohort were slightly underrepresented among all the characteristics?,"<not married or common-law>, <urban>, <moved>"
which characteristics of women cohort were slightly underrepresented among all the characteristics?,"<not married or common-law>, <unemployed>"
