similarity_score,question
0.3872,what was the percent of digitally delivered are computer services upwards?
0.3254,what was the share of digitally delivery were commercial education services exports were reported a maximum share?
0.2786,what was the share of digitally delivery in the earlier exercise were commercial education services exports?
0.4049,"over the six-year period of study, what was the highest average annual rates of sexual assault reported in nunavut?"
0.4552,"over the six-year period of study, what was the average annual rates of sexual assault reported in the northwest territories?"
0.4276,"over the six-year period of study, what was the average annual rates of sexual assault were reported in yukon."
0.4911,"over the six-year period of study,what was the sexual assault rates which were lowest in prince edward island?"
0.5219,"over the six-year period of study,what was the sexual assault rates in quebec?"
0.4933,"over the six-year period of study,what was the sexual assault rates in british columbia?"
0.4849,"over the six-year period of study,what was the sexual assault rates in ontario?"
0.585,"in 2014, which kind of people had the higher overall rate of violence, among aboriginal people or non-aboriginal people?"
0.5569,"which kind of people had the higher overall rate of household victimization, aboriginal households or non-aboriginal households?"
0.6691,"compared with the rest of the canadian population, how many incidents per 1,000 people did first nations people have a rate of violent victimization?"
0.6227,"what was the rates of overall violence appeared to be higher for metis people when compared with the rest of canada, these differences were not found to be statistically significant?"
0.6,"what was the rates of overall violence appeared to be higher for inuit people when compared with the rest of canada, these differences were not found to be statistically significant?"
0.652,"how many times did aboriginal females (220e incidents per 1,000 people) have an overall rate of violent victimization higher than that of aboriginal males?"
0.6561,"how many times did aboriginal females (220e incidents per 1,000 people) have an overall rate of violent victimization higher than that of non-aboriginal males?"
0.6561,"how many times did aboriginal females (220e incidents per 1,000 people) have an overall rate of violent victimization higher than that of non-aboriginal males?"
0.7171,"in 2014, what was the percent of non-spousal violent incidents against aboriginal people involved one offender?"
